English,中文（採用）,別稱,來源
heat flow,熱流,,EDB 2020
heat gain,熱增益,得熱,EDB 2020
heat insulation,熱絕緣,隔熱,EDB 2020
heat loss,熱損耗,失熱,EDB 2020
heat proof,耐熱的,隔熱的,EDB 2020
heat pump,抽熱機,熱泵（EDB）,牛津 Book E3 Ch1
heat radiation,熱輻射,,EDB 2020
heat recovery chiller,熱回收冷水機組,,牛津 Book E3 Ch1
heat reservoir,熱庫,儲熱器,EDB 2020
heat sink,熱壑,,EDB 2020
heat transfer,熱傳遞,熱轉移,EDB 2020
heat-transfer fluid,熱媒油,,牛津 Book E3 Ch4
heater,發熱器,加熱器,EDB 2020
heating,加熱,,牛津 Book 1 Ch2
heating curve,加熱曲線,,EDB 2020
heating effect,熱效應,,EDB 2020
heating element,發熱元件,,EDB 2020
Heinrich Hertz,赫茲,,牛津 Book 3B  Ch4
heliocentric model,日心模型,,牛津 Book E1 Ch1
Helmholtz,亥姆霍茲,,牛津 Book 2 Ch6
Helmholtz coils,亥姆霍茲綫圈,,EDB 2020
Henri Becquerel,貝克勒耳,,牛津 Book 5 Ch1
henry,亨利,亨,EDB 2020
Henry Norris Russell,羅素,,牛津 Book E1 Ch3
heretic,犯異端罪者,,牛津 Book E1 Ch1
hertz,赫茲,赫,EDB 2020
hertz (Hz),赫茲,,牛津 Book 3B  Ch4
Hertzsprung-Russell diagram (H-R diagram),赫羅圖,,牛津 Book E1 Ch3
Higgs boson,希格斯玻色子,,牛津 Book E2 Ch2
high dispersion prism,高色散稜鏡,,EDB 2020
high tension,高電壓,,EDB 2020
high tension cable,高壓電纜,,EDB 2020
Hiroshima,廣島,,牛津 Book 5 Ch3
HK Electric,港燈,,牛津 Book 4 Ch8
Hohmann transfer orbit,霍曼轉移軌道,,牛津 Book E1 Ch2
hole,空穴,空子,EDB 2020
hollow plastic lens,空心塑料透鏡,,EDB 2020
hollow plastic prism,空心塑料稜鏡,,EDB 2020
hologram,全息圖,,EDB 2020
holography,全息術,全息學,EDB 2020
Hooke's law,虎克定律,,EDB 2020
horizontal,水平,,EDB 2020
horizontal component,水平分量,,EDB 2020
horizontal deflection,水平偏轉,,EDB 2020
horsepower,馬力,,牛津 Book 1 Ch3
horseshoe magnet,蹄形磁鐵,,EDB 2020
hot cathode,熱陰極,,EDB 2020
hot spot,熱點,,牛津 Book E4 Ch3
hour,小時,,EDB 2020
Hubble Space Telescope,哈勃空間望遠鏡,哈勃太空望遠鏡,EDB 2020
Huygens' principle,惠更斯原理,,EDB 2020
hybrid car,混合動力車,,牛津 Book E3 Ch3
hybrid vehicle,混合動力車,,牛津 Book E3 Ch3
hydraulic press,水壓機,,EDB 2020
hydroelectric power,水力發電,,牛津 Book E3 Ch4
hydrogen bomb,氫彈,,牛津 Book 5 Ch3
hygrometer,濕度計,,EDB 2020
hyperbolic orbit,雙曲綫軌道,,EDB 2020
hypermetropia,遠視,,EDB 2020
hypodermic needle,皮下注射針頭,,EDB 2020
hypodermic syringe,皮下注射針筒,,EDB 2020
hypothesis,假說,假設,EDB 2020
hypothesis (pl. hypotheses),假說,,牛津 Book E1 Ch1
hysteresis,滯後現象,,EDB 2020
ideal gas,理想氣體,,EDB 2020
ideal gas equation,理想氣體方程,,EDB 2020
ideal gas law,理想氣體定律,,EDB 2020
ideal gas temperature scale,理想氣體溫標,,EDB 2020
ideal machine,理想機械,,EDB 2020
igloo,冰屋,,牛津 Book 1 Ch2
illuminance,照明度,光照度,牛津 Book E3 Ch2
illuminate,照明,照亮,EDB 2020
image,像,,牛津 Book 3A Ch1
image distance,像距,,EDB 2020
image reconstruction algorithm,圖像重建算法,影像重建算法,EDB 2020
immerse,浸沒,,EDB 2020
immersion heater,浸沒式電熱器,,EDB 2020
impact,碰撞,,EDB 2020
impedance,阻抗,,EDB 2020
impulse,衝量,,EDB 2020
impurity,雜質,,EDB 2020
in antiphase,反相,,牛津 Book 3B  Ch4
in focus,焦點對準,,EDB 2020
in parallel,並聯,,牛津 Book 4 Ch2
in phase,同相,,牛津 Book 3B  Ch4
in series,串聯,,牛津 Book 4 Ch2
incandescent lamp,白熾燈,,牛津 Book E3 Ch2
incident ray,入射線,入射綫（EDB）,牛津 Book 3A Ch1
incident wavefront,入射波陣面,入射波前,EDB 2020
inclined plane,斜面,,EDB 2020
incoherent,不相干的,,EDB 2020
incoherent bundle fibre,不相干光纖管束,,牛津 Book E4 Ch1
incompressible fluid,非壓縮性流體,,EDB 2020
indicator,指示器,,EDB 2020
indirectly heated cathode,旁熱式陰極,,EDB 2020
induced charge,感生電荷,,牛津 Book 4 Ch1
induced current,感生電流,,EDB 2020
induced e.m.f,感生電動勢,,EDB 2020
induced voltage,感生電壓,,EDB 2020
inducing charge,施感電荷,,EDB 2020
inducing current,施感電流,,EDB 2020
inductance,電感,,EDB 2020
inductance capacitance coupled circuit,感容耦合電路,,EDB 2020
inductance coil,電感綫圈,,EDB 2020
induction,感應,,EDB 2020
induction cooker,電磁爐,,牛津 Book E3 Ch1
induction heating,感應生熱,,EDB 2020
induction lamp,電感燈,,EDB 2020
inductive circuit,電感電路,,EDB 2020
inductive component,電感性分量,,EDB 2020
inductive reactance,感抗,,EDB 2020
inductor,電感器,感應器,EDB 2020
inelastic collision,非彈性碰撞,,EDB 2020
inert gas,惰性氣體,,牛津 Book E3 Ch2
inertia,慣性,慣量,EDB 2020
inertia balance,慣性秤,,EDB 2020
inertial frame,慣性座標系,慣性系,EDB 2020
inertial mass,慣性質量,,EDB 2020
inferior planet,內行星,,牛津 Book E1 Ch1
infra-red detector,紅外綫探測器,,EDB 2020
infra-red radiation,紅外輻射,,牛津 Book 1 Ch2
infra-red ray,紅外綫,,EDB 2020
initial state,初態,,EDB 2020
initial velocity,初速度,,EDB 2020
inner ear,內耳,,牛津 Book E4 Ch2
input,輸入,,EDB 2020
input bias current,輸入偏壓電流,,EDB 2020
input characteristic,輸入特性,,EDB 2020
input current,輸入電流,,EDB 2020
input offset current,輸入補償電流,,EDB 2020
input power,輸入功率,,EDB 2020
input resistance,輸入電阻,,EDB 2020
input voltage,輸入電壓,,EDB 2020
instantaneous acceleration,瞬時加速度,,EDB 2020
instantaneous angular velocity,瞬時角速度,,EDB 2020
instantaneous current,瞬時電流,,EDB 2020
instantaneous power,瞬時功率,,EDB 2020
instantaneous speed,瞬時速率,,牛津 Book 2 Ch1
instantaneous velocity,瞬時速度,,牛津 Book 2 Ch1
instantaneous voltage,瞬時電壓,,EDB 2020
insulation,絕緣,,EDB 2020
insulator,絕緣體,,牛津 Book 1 Ch2
integrated circuit,集成電路,,EDB 2020
intensity,強度,,牛津 Book E2 Ch1
intensity control,強度控制,,EDB 2020
intensity of current,電流強度,,EDB 2020
intensity reflection coefficient,反射聲強係數,強度反射係數（EDB）,牛津 Book E4 Ch2
interaction,相互作用,,EDB 2020
interatomic force,原子間力,,EDB 2020
interatomic potential,原子間勢,原子間位,EDB 2020
interatomic separation,原子間距,,EDB 2020
intercept,截距,截段,EDB 2020
interconversion,互換,,EDB 2020
interference,干涉,,牛津 Book 3B  Ch5
interference pattern,干涉圖形,,EDB 2020
internal combustion engine,內燃機,,牛津 Book E3 Ch3
internal energy,內能,,牛津 Book 1 Ch2
internal force,內力,,EDB 2020
internal resistance,內電阻,,EDB 2020
internal work,內功,,EDB 2020
international system of units,國際單位制,公制 / 十進制,EDB 2020
interval,間隔,,EDB 2020
intrinsic semiconductor,純半導體,本徵半導體,EDB 2020
inverse square law,平方反比定律,,EDB 2020
inverse-square law,平方反比定律,,牛津 Book E3 Ch2
inverted,倒立的,,EDB 2020
inverter,反相器,倒換器,EDB 2020
inverting input,反相輸入,,EDB 2020
ion,離子,,牛津 Book 5 Ch1
ion-pair,離子偶,離子對,EDB 2020
ionic bond,離子鍵,,EDB 2020
ionic structure,離子結構,,EDB 2020
ionization,電離作用,,EDB 2020
ionization chamber,電離室,,EDB 2020
ionization current,電離電流,,EDB 2020
ionization energy,電離能,,牛津 Book E2 Ch2
ionization potential,電離電勢,電離電位,EDB 2020
ionization voltage,電離電壓,,EDB 2020
ionize,電離,,牛津 Book 5 Ch1
ionized atom,離子,,EDB 2020
ionized layer,電離層,,EDB 2020
ionizing power,致電離能力,,牛津 Book 5 Ch1
ionizing radiation,致電離輻射,,牛津 Book 5 Ch1
ionosphere,電離層,,EDB 2020
iris,虹膜,可變光闌,EDB 2020
iron core,鐵心,,EDB 2020
iron filings,鐵粉,,EDB 2020
irreversible process,不可逆過程,,EDB 2020
isobar,等壓綫,同質異序素,EDB 2020
isobaric expansion,等壓膨脹,,EDB 2020
isobaric process,等壓過程,,EDB 2020
isochronous oscillation,等時振盪,,EDB 2020
isotherm,等溫綫,,EDB 2020
isothermal process,等溫過程,,EDB 2020
isotope,同位素,,牛津 Book 5 Ch2
isovolumetric process,等容過程,,EDB 2020
J. J. Thomson,湯姆生,,牛津 Book 5 Ch2
Jaeger's method,耶格法,,EDB 2020
James Chadwick,查德威,,牛津 Book 5 Ch1
James Joule,焦耳,,牛津 Book 1 Ch2
James Watt,瓦特,,牛津 Book 1 Ch3
Jean-Pierre Sauvage,索瓦日,,牛津 Book E2 Ch3
jet propulsion,噴氣推進,,EDB 2020
jockey,滑動觸頭,,EDB 2020
Johann Balmer,巴耳末,,牛津 Book E2 Ch2
Johannes Kepler,開普勒,,牛津 Book E1 Ch2
John Dalton,道爾頓,,牛津 Book 5 Ch2
John Strutt,斯特拉特,,牛津 Book E2 Ch3
John William Strutt,史特拉,,牛津 Book E4 Ch2
Joseph Swan,斯旺,,牛津 Book E3 Ch2
Joseph von Fraunhofer,夫琅和費,,牛津 Book E2 Ch2
Joule,焦耳,,牛津 Book 2 Ch6
joule (J),焦耳,,牛津 Book 1 Ch2
joulemeter,焦耳計,,牛津 Book 1 Ch3
joulemter,焦耳計,,牛津 Book 1 Ch3
junction,連接,接頭,EDB 2020
junction diode,面結型二極管,,EDB 2020
junction transistor,面結型晶體管,,EDB 2020
kaleidoscope,萬花筒,,EDB 2020
kelvin,開爾文,開,EDB 2020
Kelvin temperature scale,開氏溫標,,EDB 2020
Kepler's law,開普勒定律,,EDB 2020
Kepler’s laws of planetary motion,開普勒行星運動定律,,牛津 Book E1 Ch2
key,電鍵,,EDB 2020
kilogram,千克,,EDB 2020
kilowatt,千瓦特,千瓦,EDB 2020
kilowatt-hour,千瓦小時,千瓦時,EDB 2020
kilowatt-hour (kW h),千瓦小時,,牛津 Book 1 Ch3
kilowatt-hour meter,千瓦時計,電錶（EDB）,牛津 Book 1 Ch3
kinematics,運動學,,EDB 2020
kinetic energy,動能,,牛津 Book 1 Ch2
kinetic friction,動摩擦,,EDB 2020
kinetic theory,分子運動論,,EDB 2020
kinetic theory model,分子運動模型,,EDB 2020
kinetic theory of gases,氣體分子運動論,,EDB 2020
Kirchhoff's law,基爾霍夫定律,,EDB 2020
kit,套件,,EDB 2020
knife-edge,刃形支承,刀刃 / 刀邊,EDB 2020
Konstantin Novoselov,諾沃肖洛夫,,牛津 Book E2 Ch3
kryton,氪,,EDB 2020
Kundt's tube,孔脫管,,EDB 2020
lagging,保溫套,,EDB 2020
Lambert's cosine law,朗伯餘弦定律,,EDB 2020
Lambert’ s cosine law,朗伯餘弦定律,,牛津 Book E3 Ch2
Lambert’s cosine law,朗伯餘弦定律,,牛津 Book E3 Ch2
laminar flow,層流,,EDB 2020
laminated,疊片的,分層的（EDB）,牛津 Book 4 Ch8
Lamma Winds,南丫風采發電站,,牛津 Book E3 Ch4
Laniakea Supercluster,拉尼亞凱亞超星系團,,牛津 Book E1 Ch1
Large Hadron Collider,大型強子對撞機,,牛津 Book E2 Ch2
laser,激光,激光器,EDB 2020
laser beam,激光束,,EDB 2020
laser material,激光材料,,EDB 2020
LAser-assisted in SItu Keratomileusis (LASIK),角膜激光矯視手術,,EDB 2020
latch,閂鎖,,EDB 2020
latent heat,潛熱,,EDB 2020
lateral,橫向,側向 / 旁向,EDB 2020
lateral inversion,橫向倒置,,EDB 2020
lateral magnification,橫向放大,橫向放大率,EDB 2020
lateral search coil,橫向探察綫圈,,EDB 2020
laterally inverted,橫向倒置,,牛津 Book 3A Ch1
lattice,點陣,晶格,EDB 2020
lattice spacing,點陣間隔,點陣間距,EDB 2020
law,定律,,EDB 2020
law of conservation of charge,電荷守恆定律,,牛津 Book 4 Ch1
law of conservation of energy,能量守恆定律,,牛津 Book 1 Ch3
law of conservation of momentum,動量守恒定律,,EDB 2020
law of reflection,反射定律,,EDB 2020
law of refraction,折射定律,,EDB 2020
laws of reflection,反射定律,,牛津 Book 3A Ch1
laws of refraction,折射定律,,牛津 Book 3A Ch2
lead,導綫,鉛,EDB 2020
lead-acid accumulator,鉛酸蓄電池,,EDB 2020
leakage current,漏泄電流,,EDB 2020
least distance of distinct vision,最小明視距離,,EDB 2020
Leclanche cell,勒克朗謝電池,,EDB 2020
length,長度,,EDB 2020
lens,晶體,透鏡（EDB）,牛津 Book E4 Ch1
lens formula,透鏡公式,,EDB 2020
lens holder,透鏡座,,EDB 2020
lens marker's formula,透鏡製造者公式,,EDB 2020
lens power,透鏡焦強,,EDB 2020
Lenz's law,楞次定律,,EDB 2020
Lester Germer,革末,,牛津 Book E2 Ch2
leukaemia,白血病,,EDB 2020
lever,槓桿,,EDB 2020
light,光,光學,EDB 2020
light beam,光束,,牛津 Book 3A Ch1
light dependent resistor,光敏電阻器,,EDB 2020
light emitting diode,發光二極管,,EDB 2020
light emitting diode (LED),發光二極管,,牛津 Book E3 Ch2
light guide,光導,,EDB 2020
light intensity,光強度,,EDB 2020
light meter,測光儀,,牛津 Book E3 Ch2
light pipe,光導管,,EDB 2020
light pollution,光污染,光害,EDB 2020
light quantum,光量子,,EDB 2020
light ray,光綫,,EDB 2020
light sensitive resistor,光敏電阻器,,EDB 2020
light source,光源,,EDB 2020
light year,光年,,EDB 2020
light year (ly),光年,,牛津 Book E1 Ch1
light-gate,光閘,,牛津 Book 2 Ch1
lightning,閃電,,EDB 2020
lightning conductor,避雷針,,EDB 2020
limiting angle,極限角,,EDB 2020
limiting friction,極限摩擦,,EDB 2020
line of action,作用綫,,EDB 2020
line of force,力綫,,EDB 2020
line spectrum,線狀光譜,綫狀光譜（EDB）,牛津 Book E2 Ch2
linear air track,綫性氣墊導航,,EDB 2020
linear attenuation coefficient,線衰減係數,,牛津 Book E4 Ch3
linear electronics,綫性電子學,,EDB 2020
linear expansivity,綫性膨脹係數,綫性脹率,EDB 2020
linear flow,綫流,,EDB 2020
linear momentum,綫動量,,EDB 2020
linear voltage amplification,綫性電壓放大率,,EDB 2020
linearly polarized wave,綫偏振波,,EDB 2020
Lingao Nuclear Power Station,嶺澳核電站,,牛津 Book 5 Ch3
liquefaction,液化,,EDB 2020
liquid,液體,,EDB 2020
liquid crystal,液晶體,,EDB 2020
liquid phase,液相,,EDB 2020
liquid pressure,液體壓強,,EDB 2020
liquid-in-glass thermometer,玻管液體温度計,玻管液體溫度計（EDB）,牛津 Book 1 Ch1
Lise Meitner,麥特勒,,牛津 Book 5 Ch3
Lissajous figure,利薩如圖形,,EDB 2020
live,載電,,EDB 2020
live wire,活線,火線,EDB 2020
Lloyd's mirror,洛埃鏡,,EDB 2020
load,負荷,,牛津 Book 4 Ch2
Local Group,本星系羣,,牛津 Book E1 Ch1
lodestone,磁石,,EDB 2020
logic gate,邏輯門,,EDB 2020
logic level,邏輯電平,邏輯級,EDB 2020
logic level indicator,邏輯電平指示器,邏輯級指示器,EDB 2020
logic value,邏輯值,,EDB 2020
long sight,遠視,,EDB 2020
long wave,長波,,EDB 2020
long-sightedness / hypermetropia,遠視,,牛津 Book E4 Ch1
longitudinal magnification,縱向放大,縱向放大率,EDB 2020
longitudinal wave,縱波,,牛津 Book 3B  Ch4
loop,回路,圈,EDB 2020
Lord Kelvin,開爾文勳爵,,牛津 Book 2 Ch6
Lorentz force,洛倫茲力,,EDB 2020
Lorentz rotating disc,洛倫茲旋轉盤,,EDB 2020
Lotus effect,蓮花效應,,牛津 Book E2 Ch3
loudness,響度,,EDB 2020
loudspeaker,揚聲器,,EDB 2020
Louis de Broglie,德布羅意,,牛津 Book E2 Ch2
low frequency a.c. generator,低頻交流發電機,,EDB 2020
low voltage,低電壓,,EDB 2020
low voltage immersion heater,低壓浸沒式電熱器,,EDB 2020
lower limit,下限,,EDB 2020
lumen,流明,,EDB 2020
lumen (lm),流明,,牛津 Book E3 Ch2
luminosity,光度,,牛津 Book E1 Ch3
luminous efficacy / efficacy,光視效能,,牛津 Book E3 Ch2
luminous flux,光通量,,牛津 Book E3 Ch2
luminous object,發光體,,牛津 Book 3A Ch1
lunar eclipse,月食,月蝕,EDB 2020
lux,勒克司,勒克斯 / 勒,EDB 2020
lux (lx),勒克司,,牛津 Book E3 Ch2
lycopodium powder,石松粉,,EDB 2020
Lyman series,賴曼系,賴曼光譜,EDB 2020
Mach number,馬赫數,,EDB 2020
machine,機械,,EDB 2020
macroscopic,宏觀的,,EDB 2020
magnadur magnet,瑪格納多爾磁鐵,,EDB 2020
magnet,磁鐵,磁體,EDB 2020
magnet keeper,永久磁鐵銜鐵,,EDB 2020
magnetic domain,磁疇,磁域,EDB 2020
magnetic effect,磁效應,,EDB 2020
magnetic field,磁場,,EDB 2020
magnetic field board,磁場板,,EDB 2020
magnetic field intensity,磁場強度,,EDB 2020
magnetic field strength,磁場強度,,EDB 2020
magnetic flux,磁通量,,EDB 2020
magnetic flux density,磁通量密度,,EDB 2020
magnetic flux linkage,磁鏈,磁鍵 / 磁通匝數,EDB 2020
magnetic force,磁力,,EDB 2020
magnetic hysteresis,磁滯,,EDB 2020
magnetic induction,磁感應強度,磁感應,EDB 2020
magnetic line of force,磁力綫,,EDB 2020
magnetic material,磁性材料,,EDB 2020
magnetic meridian,磁子午綫,,EDB 2020
magnetic moment,磁矩,,EDB 2020
magnetic north pole,磁北極,,EDB 2020
magnetic permeability,磁導率,,EDB 2020
magnetic pole,磁極,,EDB 2020
magnetic screen,磁屏,,EDB 2020
magnetic shield,磁屏,,EDB 2020
magnetic south pole,磁南極,,EDB 2020
magnetic susceptibility,磁化率,,EDB 2020
magnetic tape,磁帶,,EDB 2020
magnetic tape recorder,磁帶錄音機,,EDB 2020
magnetic torque,磁矩,,EDB 2020
magnetic track,磁跡,,EDB 2020
magnetism,磁學,磁性,EDB 2020
magnetization,起磁,磁化作用,EDB 2020
magnetize,磁化,,EDB 2020
magnetizing current,磁化電流,,EDB 2020
magnetron tube,磁控管,,牛津 Book E3 Ch1
magnification,放大,放大率,EDB 2020
magnified,放大的,,EDB 2020
magnifying glass,放大鏡,,EDB 2020
magnifying power,放大率,,EDB 2020
magnitude,量值,,牛津 Book 2 Ch1
magnitude scale,星等標度,,牛津 Book E1 Ch3
main sequence,主序,,牛津 Book E1 Ch3
main sequence star,主序星,,牛津 Book E1 Ch3
mains,市電,,牛津 Book 1 Ch3
mains frequency,市電頻率,,EDB 2020
mains immersion heater,市電浸沒式電熱器,,EDB 2020
mains supply,市電電源,,EDB 2020
major axis,長軸,,牛津 Book E1 Ch2
majority carriers,多數載流子,,EDB 2020
malleable,展性的,韌性的,EDB 2020
Maltese cross tube,馬爾塔十字管,,EDB 2020
manipulate,操縱,,牛津 Book E2 Ch3
manometer,流體壓強計,,EDB 2020
Marie and Pierre Curie,居里夫婦,,牛津 Book 5 Ch1
mass,質量,,EDB 2020
mass defect,質量虧損,,牛津 Book E3 Ch4
mass number,質量數,,牛津 Book 5 Ch2
mass spectrometer,質譜儀,,EDB 2020
mass-energy relationship,質能關係,,牛津 Book 5 Ch3
materials science,材料科學,,EDB 2020
matrix,矩陣,,牛津 Book E4 Ch3
matter wave,物質波,,EDB 2020
Max Planck,普朗克,,牛津 Book E2 Ch1
maximum error,最大誤差,,EDB 2020
mean free path,平均自由程,,EDB 2020
measurement,測量,,EDB 2020
mechanical advantage,機械利益,,EDB 2020
mechanical efficiency,機械效率,,EDB 2020
mechanical energy,機械能,,牛津 Book 2 Ch6
mechanical oscillation,機械振盪,,EDB 2020
mechanical wave,機械波,,牛津 Book 3B  Ch4
mechanical work,機械功,,牛津 Book 2 Ch6
mechanism,機制,機理,EDB 2020
medium,介質,,牛津 Book 3A Ch2
medium (pl. media),介質,,牛津 Book 3A Ch2
medium wave,中波,,EDB 2020
Melde's experiment,邁爾德實驗,,EDB 2020
melt,熔化,,EDB 2020
melting point,熔點,,EDB 2020
meniscus,彎液面,彎月面,EDB 2020
meniscus lens,凹凸透鏡,彎月形透鏡,EDB 2020
mercury,汞,水銀,EDB 2020
mercury lamp,汞燈,水銀燈,EDB 2020
metal fatigue,金屬疲勞,,EDB 2020
metal grid,金屬柵,,EDB 2020
metallic bond,金屬鍵,,EDB 2020
metastable,亞穩態的,介穩態的,EDB 2020
meteor,流星,,牛津 Book E1 Ch1
meteor shower,流星雨,,EDB 2020
meteorite,隕石,,牛津 Book E1 Ch1
meteoroid,流星體,,牛津 Book E1 Ch1
method of dimensions,維量法,因次法,EDB 2020
method of no-parallax,無視差法,,EDB 2020
method of parallax,視差法,,EDB 2020
metre,米,,EDB 2020
metre (m),米,,牛津 Book 2 Ch1
metre bridge,滑綫電橋,米尺電橋,EDB 2020
metre rule,米尺,,EDB 2020
metric unit,公制單位,,牛津 Book 2 Ch1
mica,雲母,,EDB 2020
mica capacitor,雲母電容器,,EDB 2020
Michael Faraday,法拉第,,牛津 Book 4 Ch1
Michel Mayor,馬約爾,,牛津 Book E1 Ch3
microammeter,微安培計,微安計,EDB 2020
microelectronics,微電子學,,EDB 2020
micrometer,測微計,,牛津 Book 2 Ch1
micrometer screw gauge,螺旋測微計,,EDB 2020
microphone,微音器,傳聲器,EDB 2020
microscope,顯微鏡,,EDB 2020
microscopic,微觀的,,EDB 2020
microwave,微波,,EDB 2020
microwave apparatus,微波儀器,,EDB 2020
microwave oven,微波爐,,牛津 Book E3 Ch1
microwave receiver,微波接收器,,EDB 2020
microwave transmitter,微波發送器,,EDB 2020
middle ear,中耳,,牛津 Book E4 Ch2
Milky Way Galaxy,銀河系,,牛津 Book E1 Ch1
milliammeter,毫安培計,毫安計,EDB 2020
Millikan experiment,密立根實驗,,EDB 2020
millimetre,毫米,,EDB 2020
millisecond (ms),毫秒,,牛津 Book 2 Ch1
minimally invasive surgery,微創手術,,牛津 Book E4 Ch1
minimum deviation,最小偏向,,EDB 2020
minority carrier,少數載流子,,EDB 2020
minute,分,分鐘,EDB 2020
mirage,海市蜃樓,,牛津 Book 3A Ch2
mirror,鏡,,EDB 2020
mirror formula,球面鏡公式,,EDB 2020
mobility,動性,遷移率,EDB 2020
mode,模式,,EDB 2020
model eye,眼球模型,,EDB 2020
model power line,輸電綫模型,,EDB 2020
moderator,減速劑,,牛津 Book E3 Ch4
modulation,調制,調節,EDB 2020
module,組件,,EDB 2020
modulus of elasticity,彈性模量,,EDB 2020
modulus of rigidity,剛性模量,,EDB 2020
molar gas constant,摩爾氣體常數,摩爾氣體常量,EDB 2020
molar heat capacity,摩爾熱容量,,EDB 2020
molar volume,摩爾體積,,EDB 2020
mole,摩爾,,EDB 2020
molecular bombardment,分子撞擊,,EDB 2020
molecular force,分子力,,EDB 2020
molecular motion,分子運動,,EDB 2020
molecular polarization,分子極化,,EDB 2020
molecular separation,分子間距,,EDB 2020
molecular structure,分子結構,,EDB 2020
molecule,分子,,EDB 2020
moment,矩,,EDB 2020
moment arm,矩臂,力臂,EDB 2020
moment of couple,力偶矩,,EDB 2020
moment of dipole,偶極矩,,EDB 2020
moment of force,力矩,,EDB 2020
moment of inertia,轉動慣量,,EDB 2020
moment of momentum,動量矩,,EDB 2020
momentum,動量,,EDB 2020
monatomic gas,單原子氣體,,牛津 Book E2 Ch2
monatomic molecule,單原子分子,,EDB 2020
monochromatic light,單色光,,EDB 2020
motion,勻加速運動方程,運動（EDB）,牛津 Book 2 Ch2
motion sensor,運動感應器,,牛津 Book 2 Ch2
motor,電動機,,EDB 2020
motor rule,電動機法則,,EDB 2020
movable pulley,動滑輪,,EDB 2020
moving-coil galvanometer,動圈式電流計,動圈式檢流計,EDB 2020
moving-coil loudspeaker,動圈式揚聲器,,EDB 2020
moving-coil meter,動圈式電錶,,EDB 2020
multiflash photography,多閃照相法,,EDB 2020
multimeter,萬用電錶,,牛津 Book 4 Ch2
multiple image,複像,,EDB 2020
multiple reflection,多次反射,,EDB 2020
multiple-slit interference,多縫干涉,,EDB 2020
multiplication process,倍增過程,,EDB 2020
multiplier,倍加器,,EDB 2020
multivibrator,多諧振盪器,,EDB 2020
musical instrument,樂器,,EDB 2020
mutation,突變,,EDB 2020
mutual inductance,互感,,EDB 2020
mutual induction,互感應,,EDB 2020
mutually perpendicular,互相垂直的,,EDB 2020
myopia,近視,,EDB 2020
Nagasaki,長崎,,牛津 Book 5 Ch3
nano material,納米材料,奈米材料,EDB 2020
nano particle,纳米粒子,納米粒子（EDB）,牛津 Book 2 Ch1
nano scale,納米標度,奈米標度,EDB 2020
nano structure,納米結構,奈米結構,EDB 2020
nano tube,納米管,奈米管,EDB 2020
nano wire,納米綫,奈米綫,EDB 2020
nanometre,納米,,牛津 Book E2 Ch3
nanometre (nm),納米,,牛津 Book 2 Ch1
nanoscience,納米科學,奈米科學,EDB 2020
nanotechnology,納米技術,奈米技術,EDB 2020
naphthalene,萘,,EDB 2020
natural frequency,固有頻率,自然頻率,EDB 2020
nature,本質,,EDB 2020
near point,近點,,牛津 Book E4 Ch1
nebula,星雲,,EDB 2020
nebula (pl. nebulae),星雲,,牛津 Book E1 Ch1
necking,頸縮,,EDB 2020
negater,反相器,倒換器,EDB 2020
negative charge,負電荷,,EDB 2020
negative feedback,負反饋,,EDB 2020
negative ion,負離子,,EDB 2020
negative supply rail,負供電軌,,EDB 2020
negative terminal,負端鈕,負接綫柱,EDB 2020
net force,淨力,,EDB 2020
network,網路,網絡,EDB 2020
neutral,中性,,牛津 Book 4 Ch1
neutral equilibrium,中性平衡,隨遇平衡,EDB 2020
neutral point,中和點,,牛津 Book 4 Ch1
neutral wire,中線,,EDB 2020
neutrino,中微子,,EDB 2020
neutron,中子,,牛津 Book 5 Ch2
neutron number,中子數,,EDB 2020
newton,牛頓,,EDB 2020
Newton's first law of motion,牛頓運動第一定律,,EDB 2020
Newton's law of gravitation,牛頓萬有引力定律,,EDB 2020
Newton's ring,牛頓環,,EDB 2020
Newton's second law of motion,牛頓運動第二定律,,EDB 2020
Newton's third law of motion,牛頓運動第三定律,,EDB 2020
Newtonian fluid,牛頓流體,,EDB 2020
Newtonian mechanics,牛頓力學,,EDB 2020
nichrome wire,鎳鉻綫,鎳鉻合金綫,EDB 2020
Nicol prism,尼科爾稜鏡,,EDB 2020
Nicolaus Copernicus,哥白尼,,牛津 Book E1 Ch1
Niels Bohr,玻爾,,牛津 Book E2 Ch2
nitrogen,氮,,EDB 2020
no-parallax,無視差,,EDB 2020
nodal line,節線,節綫（EDB）,牛津 Book 3B  Ch5
node,波節,節點（EDB）,牛津 Book 3B  Ch5
noise,噪音,,EDB 2020
noise level,噪音級,,EDB 2020
noise pollution,噪音污染,,EDB 2020
non-conservative force,非守恒力,非保守力,EDB 2020
non-inertial frame,非慣性座標系,非慣性系,EDB 2020
non-inverting input,非反相輸入,,EDB 2020
non-ionizing radiation,非電離輻射,,牛津 Book 5 Ch1
non-luminous object,不發光體,,牛津 Book 3A Ch1
non-Newtonian fluid,非牛頓流體,,EDB 2020
non-ohmic conductor,非歐姆導體,,EDB 2020
non-ohmic resistor,非歐姆電阻器,,EDB 2020
non-renewable energy source,不可再生能源,,牛津 Book E3 Ch4
normal,法線,法綫（EDB）,牛津 Book 3A Ch1
normal incidence,正入射,,EDB 2020
normal reaction,法向反作用力,,EDB 2020
normal stress,法向應力,,EDB 2020
